Maths,Physics,English,Economics,Biology
71,79,42,39,62
Maths,Physics,English,Economics,Biology
80,54,44,94,63
88,56,80,55,52
10,87,41,36,90
32,34,82,86,24
20,34,19,93,79
32,34,18,69,54
44,53,35,78,30
98,40,64,91,64
78,95,68,73,27
33,67,49,15,29
24,87,43,72,17
23,32,49,47,88
79,56,77,89,87
40,80,15,78,69
90,81,26,78,55
83,79,80,16,25
72,49,87,45,35
73,61,76,55,61
44,90,80,99,67
81,91,54,20,34
70,85,76,45,80
46,73,36,42,64
67,56,18,62,13
47,26,58,79,84
93,13,76,47,14
21,24,35,27,45
54,80,49,29,76
75,91,67,19,14
96,90,32,44,27
37,82,37,14,74
Maths,Physics,English,Economics,Biology
41,58,35,61,93
73,34,49,24,52
47,73,86,96,88
53,85,88,89,51
68,49,47,55,55
96,67,43,11,12
92,71,42,76,38
67,23,44,35,80
47,21,75,97,21
42,16,69,36,40
90,92,36,82,75
12,13,53,79,42
99,65,80,79,49
15,24,33,69,77
36,37,65,76,33
66,67,66,38,96
87,88,70,34,92
96,66,53,16,62
48,76,15,57,70
94,77,14,67,11
40,90,78,43,42
89,70,17,65,87
94,52,31,23,21
28,58,61,23,72
12,19,56,43,25
26,74,95,13,81
11,84,97,91,12
54,59,83,52,96
94,83,93,24,11
51,60,79,60,91
Maths,Physics,English,Economics,Biology
21,86,23,56,91
95,27,10,20,37
95,45,42,89,32
17,23,50,46,20
62,75,11,58,27
96,55,40,23,61
36,40,58,29,88
57,68,72,97,57
42,48,19,42,45
21,47,67,87,58
55,38,88,54,87
17,23,87,45,52
83,96,47,60,76
94,54,66,14,16
36,61,74,96,15
38,85,92,92,54
40,94,51,76,97
23,17,74,48,95
89,78,30,53,31
84,24,76,29,77
70,27,75,41,59
45,99,90,51,31
63,32,60,77,51
45,59,33,29,70
40,16,69,73,59
10,79,85,62,56
42,47,35,72,83
46,97,69,55,19
89,15,30,19,20
77,29,22,55,69
Maths,Physics,English,Economics,Biology
80,57,67,58,39
41,42,38,55,20
41,36,56,79,79
62,80,22,83,80
67,83,94,47,81
33,27,37,99,82
87,93,89,26,71
51,11,42,88,41
73,66,17,75,99
62,97,19,50,14
39,17,81,81,54
14,46,46,82,75
44,52,27,14,29
38,92,83,50,70
25,73,28,29,21
89,34,90,18,80
79,27,94,79,94
32,13,66,49,12
88,26,96,70,50
23,12,15,22,12
72,41,13,22,86
28,62,19,61,44
61,14,25,80,70
24,81,78,77,96
61,78,57,93,71
13,62,91,55,63
35,99,26,21,28
85,71,19,12,64
53,24,76,16,46
92,29,17,92,46
Maths,Physics,English,Economics,Biology
78,74,82,93,23
94,66,79,68,23
53,38,85,54,88
67,40,92,13,52
43,14,12,32,88
57,89,84,74,95
75,69,70,39,56
34,81,60,91,59
98,91,73,86,34
91,34,64,79,24
53,27,78,47,35
28,93,38,88,57
44,14,94,54,26
75,77,75,94,41
63,45,12,79,14
28,22,11,39,58
30,67,65,54,11
46,15,13,27,75
52,81,82,92,25
53,57,92,58,13
13,84,55,68,30
52,90,48,98,99
23,49,27,59,62
30,34,84,95,22
33,41,84,69,93
19,39,72,91,53
83,46,52,59,75
56,76,83,77,87
47,42,59,54,26
60,65,55,49,15
Maths,Physics,English,Economics,Biology
71,34,26,89,75
82,96,78,47,97
26,99,61,14,53
49,57,13,17,18
84,40,56,95,51
72,31,49,66,75
77,38,87,67,48
45,47,64,59,54
71,73,16,16,59
91,41,69,55,35
83,86,36,81,56
76,51,21,94,24
86,58,21,61,54
28,80,29,96,25
55,82,81,67,16
73,38,14,32,68
73,92,62,21,28
58,47,33,15,77
68,65,40,28,41
76,64,95,45,73
91,66,87,83,57
84,51,37,57,28
87,85,34,92,63
72,82,85,97,18
61,83,25,98,43
83,50,52,24,33
35,27,58,23,51
10,70,46,97,12
44,21,84,85,18
24,23,26,24,28
Maths,Physics,English,Economics,Biology
91,27,94,41,88
65,72,74,96,10
50,37,91,39,53
93,96,70,84,66
25,86,49,11,21
36,42,30,67,53
72,29,36,15,29
61,15,98,97,63
70,36,20,42,33
22,13,97,93,78
46,96,99,60,20
55,87,43,19,57
72,81,88,31,81
95,73,23,77,80
31,82,89,72,39
16,32,49,15,15
80,70,90,13,35
93,37,84,29,69
96,74,79,49,61
18,45,71,51,22
38,93,34,45,55
66,99,87,18,77
77,22,53,52,38
10,93,63,36,77
90,50,44,17,40
84,73,42,59,45
65,82,53,48,63
29,77,58,83,69
79,37,64,87,82
46,76,44,15,49
Maths,Physics,English,Economics,Biology
42,36,26,65,40
53,44,32,52,58
48,42,70,24,77
30,68,31,87,40
91,97,15,94,85
37,18,39,68,22
14,65,94,46,16
69,42,70,47,38
70,98,71,26,95
71,63,73,82,50
52,82,90,78,67
27,14,39,12,48
32,54,13,21,78
82,52,47,45,64
62,70,37,25,88
62,53,31,64,95
98,72,49,32,45
54,62,29,92,97
58,18,66,80,93
76,26,55,53,29
45,72,98,85,59
96,97,51,67,42
64,27,24,52,74
98,34,90,89,71
27,23,68,53,37
23,39,39,41,70
23,78,44,46,20
41,91,82,74,86
79,63,89,15,49
90,24,58,72,17
Maths,Physics,English,Economics,Biology
51,66,85,78,99
60,52,31,94,11
54,46,53,70,96
58,42,88,24,40
42,64,93,45,74
34,91,93,17,99
34,87,79,23,38
23,30,51,34,11
86,69,80,13,57
59,89,28,57,61
79,76,93,24,88
49,47,75,88,21
45,57,14,33,61
47,12,45,71,20
69,66,14,78,57
14,45,81,72,13
86,99,94,61,80
55,20,61,50,80
36,14,75,54,30
65,32,29,42,26
48,23,17,70,58
50,66,33,77,49
36,70,47,28,45
94,85,21,37,72
24,49,98,33,44
26,30,30,87,11
14,99,17,40,94
77,23,94,19,51
93,50,83,44,41
19,26,47,31,97
Maths,Physics,English,Economics,Biology
85,42,97,20,47
29,46,66,42,33
98,48,17,21,31
28,56,66,59,92
38,46,43,25,85
88,29,64,37,36
20,77,43,22,38
83,96,71,42,62
28,83,11,61,52
51,10,59,22,89
74,90,50,45,20
78,76,53,72,10
27,33,82,46,64
16,33,56,37,92
45,63,94,40,48
41,47,47,17,66
58,77,44,21,43
16,73,45,61,31
26,29,75,46,68
44,61,49,69,42
31,94,11,56,73
95,84,91,95,52
46,10,22,41,12
14,90,30,96,55
30,86,84,80,88
92,83,45,24,70
67,17,15,60,28
43,23,15,83,37
17,53,50,57,86
69,48,25,48,99
Maths,Physics,English,Economics,Biology
44,20,74,51,38
42,73,40,37,19
58,80,36,40,95
57,53,68,46,76
11,63,16,56,10
74,42,44,49,34
40,81,57,59,88
57,55,89,10,92
59,51,16,79,28
71,66,22,98,35
68,14,15,66,57
25,76,97,20,73
37,44,37,68,68
38,65,66,67,43
15,84,44,85,91
75,54,61,26,76
52,55,96,98,18
80,21,15,86,11
51,31,56,89,96
40,14,88,72,97
21,32,53,99,51
95,99,80,83,95
74,97,15,64,87
19,28,79,61,97
99,46,18,13,38
15,60,25,17,35
31,90,69,27,37
31,38,47,60,53
26,21,53,83,42
72,70,45,99,14
Maths,Physics,English,Economics,Biology
10,33,52,28,72
76,81,20,94,59
26,54,10,98,70
54,58,21,18,38
15,30,71,91,57
91,88,65,59,66
96,55,77,62,34
77,43,21,49,55
50,74,98,50,60
69,67,90,10,32
47,26,47,95,46
54,16,63,80,48
28,51,23,20,32
12,45,62,59,43
63,61,94,97,30
25,91,65,76,24
93,82,12,37,54
49,72,83,29,86
99,20,49,25,39
16,42,99,78,90
31,85,65,83,35
18,70,25,17,31
18,80,15,83,12
71,84,65,39,58
24,36,81,71,49
51,60,90,95,16
97,29,93,41,12
66,80,11,50,65
12,28,60,88,23
79,12,38,39,68
Maths,Physics,English,Economics,Biology
82,40,92,74,27
21,42,73,49,22
32,98,83,30,62
78,54,70,49,80
56,44,52,94,79
90,23,85,88,29
35,12,36,86,29
65,25,71,50,51
42,87,92,21,19
65,47,56,98,46
48,65,14,35,39
97,88,64,56,50
15,73,72,76,73
12,66,93,83,60
84,43,45,94,49
47,84,31,64,27
95,46,72,56,87
48,96,34,89,76
17,74,62,29,95
54,94,28,98,61
75,29,55,12,63
14,57,48,79,22
26,78,59,81,61
90,21,55,85,67
43,75,37,10,62
26,95,66,24,31
36,64,46,57,61
13,21,41,84,53
49,15,58,82,15
18,32,21,66,41
Maths,Physics,English,Economics,Biology
47,91,98,76,12
14,67,55,14,95
22,68,47,70,50
65,70,48,48,79
67,87,54,37,20
94,14,45,53,20
40,27,28,28,80
66,22,98,80,24
96,41,64,34,58
19,82,64,60,41
90,28,62,23,57
68,47,15,89,55
19,88,63,54,33
61,18,50,63,85
23,33,95,69,91
24,84,93,83,32
62,44,63,97,33
71,44,72,34,98
22,20,88,66,94
49,66,41,84,31
32,99,51,93,21
74,20,26,41,10
69,71,83,29,97
87,96,43,65,25
62,43,40,83,90
99,60,19,12,80
54,49,50,13,84
56,60,96,31,59
62,80,23,77,32
95,72,48,84,33
Maths,Physics,English,Economics,Biology
54,98,43,52,10
41,45,68,68,27
71,11,29,18,53
34,81,79,12,67
33,68,31,36,90
23,68,18,46,34
20,47,56,53,57
30,49,47,18,13
81,24,33,16,60
28,49,72,71,23
36,48,16,40,72
60,13,57,25,78
62,72,57,49,75
89,76,92,37,91
69,21,24,27,30
98,33,75,42,92
73,48,92,73,46
78,95,70,23,25
63,74,37,91,14
51,64,82,84,94
45,22,91,99,44
86,85,18,40,45
24,97,44,36,97
64,74,23,10,96
51,33,87,49,25
71,50,72,93,14
95,14,56,31,66
28,99,39,83,44
85,85,87,90,22
44,33,78,62,21
Maths,Physics,English,Economics,Biology
76,75,25,64,66
59,63,34,88,26
98,90,56,87,47
67,55,57,12,51
86,67,76,11,97
68,32,73,61,96
63,21,81,20,47
67,88,51,13,76
51,63,49,13,55
89,66,26,60,90
59,55,19,89,59
60,78,57,39,99
32,20,73,44,20
24,18,39,52,96
88,43,26,22,71
90,59,38,22,69
64,83,29,89,99
79,18,47,72,25
61,62,79,67,32
15,91,21,85,11
99,29,58,49,10
13,76,77,50,63
22,74,16,36,15
54,53,44,75,33
77,77,49,90,54
46,78,53,28,58
17,81,37,88,32
69,81,99,90,49
76,48,99,77,59
89,58,18,11,61
Maths,Physics,English,Economics,Biology
43,60,62,57,34
34,59,13,37,50
94,31,27,38,86
15,41,13,84,83
98,11,85,93,20
84,17,55,60,22
66,85,34,21,45
36,56,22,27,55
24,71,34,73,57
10,34,20,65,80
76,24,73,84,69
35,43,19,63,40
55,89,49,35,28
55,94,93,43,98
78,82,68,42,35
41,34,66,95,79
88,40,66,94,69
65,34,52,43,77
51,30,79,32,44
16,27,49,75,88
42,84,81,40,61
43,53,22,81,38
40,74,29,80,93
81,72,74,13,98
67,82,86,40,19
19,50,45,19,37
46,76,40,59,46
25,64,26,76,87
52,97,96,57,77
21,81,55,12,15
Maths,Physics,English,Economics,Biology
46,46,90,84,53
25,31,28,58,70
60,87,44,49,15
35,81,10,62,97
67,56,63,13,71
94,44,71,43,20
20,93,88,99,97
38,71,10,95,29
28,20,34,59,18
15,74,75,78,57
19,33,81,95,83
57,85,48,67,59
96,78,34,65,68
28,92,17,21,40
39,44,64,28,33
35,99,37,92,86
70,49,73,31,65
74,88,58,23,60
57,62,74,13,57
47,38,72,44,45
43,83,42,82,38
28,83,57,20,90
11,44,92,29,82
57,48,23,70,56
22,56,75,80,96
88,49,17,35,89
18,94,90,81,20
86,46,62,83,60
99,36,85,10,38
33,24,12,24,89
Maths,Physics,English,Economics,Biology
41,72,79,15,72
57,92,37,68,75
18,48,31,64,92
87,19,39,27,20
45,88,67,56,71
66,83,85,89,37
27,16,11,86,81
37,16,86,17,23
91,53,80,68,94
29,17,11,64,91
95,32,11,82,91
32,84,79,70,70
63,38,50,48,90
36,98,65,42,34
15,52,68,98,85
70,21,74,31,14
51,51,63,69,17
16,14,17,19,54
41,87,55,33,32
81,74,77,86,52
86,60,88,91,74
76,11,92,31,20
38,44,51,74,40
12,98,37,97,71
37,78,39,18,69
42,78,33,38,11
47,67,29,70,26
51,41,20,44,16
67,42,33,99,98
28,68,65,86,46
Maths,Physics,English,Economics,Biology
71,74,48,47,63
66,64,63,75,55
73,72,75,74,43
95,30,31,39,17
78,53,18,40,99
26,26,55,86,98
61,63,91,58,62
69,29,31,94,26
91,85,26,65,56
86,25,30,79,19
37,47,61,54,98
90,83,77,43,94
54,45,14,52,30
67,39,45,40,54
68,50,98,18,83
96,87,33,35,30
67,82,72,38,57
86,47,59,42,59
70,33,92,34,46
82,10,46,37,99
18,53,63,14,13
93,59,21,74,25
69,65,39,79,69
26,14,64,98,10
19,32,28,97,63
10,62,72,69,53
76,69,59,17,99
61,71,28,82,96
35,31,67,27,52
17,65,29,82,46
Maths,Physics,English,Economics,Biology
42,48,70,33,43
53,93,21,31,66
97,35,79,40,38
73,24,22,54,41
41,44,16,36,13
36,51,90,75,15
22,44,58,71,17
54,97,98,12,18
69,49,84,73,66
22,54,71,24,35
26,40,81,71,74
75,46,65,54,98
33,94,82,48,39
24,89,77,11,23
99,79,86,11,10
98,99,76,38,24
13,88,94,32,11
25,35,85,45,74
33,33,95,76,80
55,58,23,69,24
80,11,58,91,46
86,18,17,48,68
78,45,47,20,49
63,97,29,16,99
90,41,14,22,60
53,38,78,39,64
54,46,43,45,40
37,32,37,15,39
28,91,93,81,19
93,86,44,17,37
Maths,Physics,English,Economics,Biology
81,40,66,72,79
52,57,15,57,33
61,66,22,30,65
77,22,64,40,31
24,90,37,81,95
74,40,31,73,34
61,50,67,81,89
82,34,80,61,16
35,89,91,26,73
80,49,41,19,42
29,70,21,21,44
71,20,29,16,94
68,51,50,83,30
71,83,44,12,52
15,79,42,30,99
81,82,63,95,99
40,38,42,32,22
54,88,45,28,66
22,97,27,95,23
69,90,75,34,14
42,91,91,90,11
94,52,46,90,86
11,43,21,34,84
67,84,12,94,11
18,77,34,15,79
34,51,62,57,46
73,30,87,85,65
72,79,64,41,12
64,82,32,73,30
57,18,99,52,56
Maths,Physics,English,Economics,Biology
33,73,63,79,17
56,79,42,46,39
94,11,55,43,83
29,80,12,85,41
12,44,34,69,73
98,72,81,95,30
46,62,40,58,78
40,75,19,74,75
74,72,52,72,36
62,35,47,53,70
42,27,51,42,81
97,40,56,16,68
28,66,23,78,94
72,90,72,69,49
13,80,58,84,60
52,35,71,27,57
49,24,46,69,35
79,40,17,72,77
55,87,22,74,93
47,44,17,97,16
20,46,23,30,78
33,32,18,33,15
97,34,32,80,75
75,73,62,54,81
82,14,87,65,14
54,35,51,31,89
12,51,95,47,70
84,86,45,36,97
82,44,24,17,22
97,31,50,18,75
Maths,Physics,English,Economics,Biology
41,82,52,37,27
55,33,62,21,52
89,54,82,82,71
16,56,30,78,62
36,50,66,36,25
83,72,18,71,13
98,64,78,18,91
32,38,28,78,75
97,70,87,29,27
29,41,78,85,33
51,43,41,41,45
90,97,38,33,23
85,31,42,49,60
56,38,76,31,25
79,56,43,83,46
85,12,47,19,91
70,89,11,28,46
86,21,43,92,98
92,58,47,37,20
68,71,52,45,66
38,82,87,23,40
68,13,96,34,93
95,78,13,95,61
76,64,35,18,23
42,31,20,68,70
94,20,38,16,27
99,25,42,99,33
92,96,74,26,40
87,22,18,10,48
34,30,87,33,55
Maths,Physics,English,Economics,Biology
11,58,49,26,26
88,35,85,52,15
47,87,80,97,25
34,51,92,64,41
15,49,17,80,63
57,68,32,47,67
78,42,59,19,66
36,94,94,56,48
70,66,96,14,98
14,55,75,26,73
36,54,85,13,10
10,78,33,22,74
40,95,77,13,28
94,52,42,19,18
69,36,26,97,79
35,31,16,85,37
20,22,48,65,23
73,79,59,34,36
14,79,53,50,93
32,86,63,25,56
12,69,36,68,54
97,79,81,54,33
67,54,98,72,56
42,82,83,14,43
60,51,88,14,80
81,90,42,31,97
86,88,49,20,71
40,34,55,38,62
55,62,16,80,18
54,64,32,86,92
Maths,Physics,English,Economics,Biology
84,44,38,58,21
67,49,66,95,33
71,40,53,82,73
65,73,94,74,59
93,49,50,90,39
88,27,48,31,62
36,83,99,18,68
69,85,54,54,98
16,19,20,25,29
70,97,54,31,59
55,34,58,73,80
84,20,56,97,32
98,19,92,50,61
40,49,95,56,41
43,82,36,15,17
11,79,46,12,74
32,21,21,47,53
50,42,27,71,48
73,69,29,26,82
88,74,87,86,49
58,28,41,31,18
27,70,45,38,76
96,83,96,42,82
82,51,54,69,28
11,74,84,34,90
67,85,32,74,94
68,58,90,19,14
98,92,57,46,39
96,24,84,85,77
75,16,12,44,90
Maths,Physics,English,Economics,Biology
44,47,85,24,22
17,87,72,10,26
55,91,12,86,47
12,36,68,53,61
79,74,13,69,91
23,48,89,56,60
15,96,71,37,88
13,18,29,53,59
95,55,82,51,15
53,71,30,22,98
68,75,35,92,49
51,80,15,24,13
39,58,46,17,79
69,73,21,22,37
76,48,86,21,34
12,44,93,85,66
54,45,75,72,60
47,96,82,37,77
21,99,41,33,79
30,76,48,71,90
98,11,85,56,44
99,84,82,12,65
28,77,98,62,98
98,22,19,89,15
57,61,42,42,98
97,85,18,10,94
24,74,49,38,45
63,96,76,58,92
57,71,91,32,13
71,72,38,50,38
Maths,Physics,English,Economics,Biology
64,63,14,52,43
76,96,79,55,98
49,68,81,75,78
20,38,56,47,38
47,92,34,76,62
21,54,23,38,79
47,19,30,78,25
36,72,75,57,78
28,76,48,80,34
86,82,43,11,32
47,93,27,12,60
91,24,71,19,78
63,41,68,52,57
61,65,11,98,41
33,50,19,34,34
37,89,22,35,10
74,17,94,56,92
59,84,45,48,84
68,79,18,53,28
95,55,36,59,47
38,61,34,77,96
21,92,72,56,38
30,19,18,66,91
30,87,57,92,95
99,80,62,49,26
46,55,17,10,46
26,42,60,83,63
13,51,37,22,43
42,18,22,43,54
32,97,98,82,96
Maths,Physics,English,Economics,Biology
93,40,45,83,17
30,89,14,21,92
67,81,25,58,84
50,63,66,84,62
57,33,94,99,55
18,94,92,45,62
97,13,68,52,25
36,46,16,59,33
52,60,88,28,30
93,32,36,58,28
64,69,47,33,45
20,37,15,29,92
71,86,60,96,99
49,54,53,45,50
44,36,52,61,61
68,30,72,73,80
12,15,96,38,38
81,89,82,32,73
66,71,39,94,56
65,83,10,45,58
78,84,97,17,99
73,40,50,44,47
58,41,68,99,60
64,74,47,71,56
96,46,38,39,32
41,86,94,19,63
92,39,28,47,40
55,55,27,84,47
49,99,12,49,47
60,70,47,58,19
Maths,Physics,English,Economics,Biology
30,62,67,76,38
79,89,54,60,35
88,29,14,82,77
50,66,83,67,79
22,96,19,71,69
15,14,41,84,17
47,93,74,66,96
35,89,20,40,68
32,57,76,36,62
15,36,55,62,98
32,36,15,17,85
38,85,82,12,51
74,63,95,13,12
84,63,71,93,85
97,94,37,56,27
59,66,99,43,91
34,35,81,94,66
10,26,35,41,80
73,23,29,10,82
84,12,32,87,55
46,16,30,81,18
83,66,35,86,56
77,77,79,23,54
16,70,91,49,60
94,65,80,18,71
76,83,80,32,47
18,21,55,22,19
55,40,71,54,26
80,72,67,35,21
12,39,52,91,17
Maths,Physics,English,Economics,Biology
52,92,65,24,62
49,80,36,69,57
96,64,16,76,94
97,35,51,68,40
15,37,75,25,14
26,74,57,32,25
76,23,44,46,42
37,52,41,15,44
22,22,13,85,63
43,66,27,79,30
47,39,95,51,95
59,48,52,72,53
95,43,31,39,33
48,23,84,38,15
89,33,16,33,11
41,53,49,23,25
97,34,67,43,50
17,64,53,23,87
16,45,27,81,77
22,71,79,94,13
42,38,43,27,26
53,24,99,78,86
91,57,13,99,86
26,18,42,69,82
62,28,10,50,52
46,27,78,55,20
67,80,99,93,52
96,70,44,24,37
36,49,36,92,78
41,14,91,50,48
Maths,Physics,English,Economics,Biology
84,17,84,57,10
92,77,10,87,84
21,55,72,47,98
70,63,30,39,99
94,66,36,87,14
46,38,97,84,14
17,96,71,76,84
41,61,81,97,97
77,14,71,78,96
99,98,30,37,88
25,77,12,57,65
84,95,38,64,61
89,96,94,79,81
90,62,54,14,23
59,96,87,39,66
46,44,26,55,17
67,31,48,61,18
58,87,16,39,11
22,82,32,38,24
88,55,17,23,56
48,19,58,36,75
41,76,46,46,49
92,75,67,86,51
69,69,85,39,34
25,36,19,25,46
73,81,67,65,37
52,61,60,78,16
78,66,71,48,38
30,41,50,46,97
28,35,31,12,46
Maths,Physics,English,Economics,Biology
25,10,94,67,40
72,69,55,52,82
16,83,44,90,15
19,27,82,36,26
89,67,38,10,68
82,48,91,91,72
26,72,68,69,10
52,14,27,16,91
93,95,23,88,73
45,63,48,78,35
91,61,60,50,16
65,43,58,41,92
89,40,56,43,30
71,83,81,29,22
62,34,14,64,67
63,91,91,21,55
71,71,88,45,58
75,63,56,69,72
70,49,82,62,67
33,41,37,68,26
53,23,78,65,64
20,80,68,89,38
86,75,62,39,79
72,94,69,11,55
51,20,83,86,73
68,39,42,21,15
19,26,94,54,63
31,16,23,62,30
19,23,31,80,17
84,35,55,26,24
Maths,Physics,English,Economics,Biology
56,12,32,31,34
33,38,88,45,53
46,79,81,51,98
43,72,77,71,37
72,71,38,24,16
93,69,90,75,65
70,63,17,97,91
99,16,56,48,25
23,33,75,34,51
31,80,91,73,65
25,66,70,39,99
82,61,85,63,34
43,74,20,69,41
38,31,34,96,66
95,56,79,58,30
60,82,19,30,24
54,78,21,96,46
53,85,12,55,64
88,17,12,57,88
96,58,84,13,97
87,12,86,47,97
69,37,44,74,28
37,22,89,39,46
51,48,40,11,74
59,12,85,51,29
24,51,21,50,80
26,70,60,68,63
63,76,65,98,40
41,66,64,80,28
39,79,64,30,72
Maths,Physics,English,Economics,Biology
42,53,50,48,65
77,74,19,41,72
73,65,64,12,93
42,29,18,82,24
57,22,23,77,90
11,59,85,63,97
34,35,58,96,37
27,64,53,19,93
63,44,99,45,84
89,60,49,21,81
59,45,83,65,23
70,33,54,14,74
86,57,35,88,33
20,64,97,15,75
56,80,36,49,91
79,63,17,67,15
25,84,40,43,90
12,76,29,65,56
41,71,88,91,22
65,76,67,83,81
48,51,35,46,44
62,23,93,44,73
56,99,65,35,75
57,48,29,90,80
85,62,57,41,32
32,80,69,55,30
73,50,10,23,47
82,86,70,86,37
50,84,54,29,90
74,79,52,94,43
Maths,Physics,English,Economics,Biology
33,63,71,59,24
44,99,78,48,65
70,75,79,99,48
13,82,46,49,81
27,31,60,72,40
93,85,39,76,49
99,50,44,18,69
83,68,53,46,79
91,94,74,65,26
51,47,94,81,87
11,87,73,72,88
41,55,93,22,38
14,21,18,99,34
25,50,31,65,85
84,64,38,17,47
72,70,14,69,25
70,60,68,40,24
96,22,61,52,31
30,36,49,40,63
82,50,17,40,12
79,31,88,43,15
21,11,48,88,61
80,63,69,23,79
50,35,14,93,62
93,58,45,78,82
94,76,12,12,80
52,99,18,28,60
39,55,62,77,39
76,30,62,22,65
14,60,65,48,91
Maths,Physics,English,Economics,Biology
89,49,56,18,92
88,47,26,86,17
24,30,24,96,72
51,30,39,84,28
56,67,90,79,82
41,22,38,70,82
73,15,54,50,29
25,88,67,51,52
97,39,22,78,91
98,73,98,19,60
55,29,25,90,74
41,15,31,17,32
48,49,77,84,17
27,55,14,98,67
58,16,88,30,18
81,66,12,85,76
59,67,20,71,49
75,47,64,86,12
45,60,32,85,11
85,50,44,86,85
77,92,27,60,99
65,98,46,44,80
30,96,81,90,29
22,15,93,77,10
78,36,77,36,63
78,41,36,21,16
64,99,33,49,65
91,47,67,49,91
43,18,45,49,30
16,76,76,33,37
Maths,Physics,English,Economics,Biology
92,35,31,26,60
85,72,72,83,25
79,63,64,58,57
42,78,49,85,76
91,92,57,47,17
93,73,53,56,33
53,62,74,68,25
54,93,48,66,74
76,74,12,55,16
90,60,54,12,26
97,72,30,30,91
96,69,25,39,14
78,53,12,41,84
75,84,48,54,12
91,19,62,83,96
25,55,64,98,49
62,34,92,85,27
53,23,63,67,48
15,19,77,26,19
53,70,88,33,43
28,80,94,60,20
51,41,94,20,43
96,78,78,92,69
48,89,73,92,97
72,62,98,11,57
90,90,56,24,62
22,41,36,63,11
32,56,92,77,65
35,57,52,78,11
22,18,64,63,11
Maths,Physics,English,Economics,Biology
70,11,41,39,28
78,99,80,16,46
22,78,15,25,49
67,89,65,57,80
47,57,41,15,69
59,80,52,74,76
96,43,15,77,53
63,54,57,36,72
47,34,48,32,30
15,42,53,66,82
51,81,37,41,81
49,83,66,53,86
90,98,13,40,72
80,83,45,69,30
72,23,16,83,77
54,99,51,14,95
97,60,14,57,86
28,25,96,14,16
31,16,32,50,93
49,94,45,77,65
82,15,29,78,95
22,11,89,47,60
32,63,34,85,64
66,59,63,98,98
94,94,97,80,76
58,80,86,93,59
45,34,75,59,88
87,84,45,31,97
97,87,87,80,56
91,16,99,54,97
Maths,Physics,English,Economics,Biology
79,76,57,52,10
43,10,79,88,83
89,87,96,64,19
23,85,44,74,88
21,10,13,34,48
58,38,28,93,94
41,90,48,41,96
25,23,26,25,65
90,66,47,60,41
89,36,76,71,11
24,42,18,50,42
14,21,96,94,21
33,57,90,87,82
99,99,77,29,30
26,38,66,22,54
97,89,13,34,51
13,77,73,51,76
37,33,95,99,64
81,77,60,87,15
52,88,91,73,76
66,58,91,19,50
29,77,68,49,60
20,12,72,32,63
44,71,11,67,23
42,52,63,18,10
53,51,44,55,51
71,95,73,38,13
40,35,27,78,60
77,93,22,93,28
97,79,31,63,33
Maths,Physics,English,Economics,Biology
36,71,21,43,53
68,67,90,30,34
26,84,97,82,96
91,10,31,92,89
71,88,99,21,53
60,38,80,49,67
82,36,87,11,87
79,90,26,28,66
29,35,68,59,11
69,23,82,68,94
10,24,64,93,71
60,22,98,25,61
17,28,15,23,82
45,94,30,85,23
74,44,31,76,57
11,22,34,38,86
62,39,97,47,12
12,40,51,33,99
24,99,18,61,99
26,74,62,66,57
36,29,88,14,76
79,51,24,78,27
91,60,30,44,53
89,53,37,98,42
89,88,23,86,15
97,94,47,75,33
29,77,88,32,59
47,16,34,63,60
84,73,69,71,89
62,37,97,27,19
Maths,Physics,English,Economics,Biology
29,47,95,12,70
22,43,70,94,65
94,96,21,49,67
31,43,25,62,12
50,52,23,83,31
93,66,62,86,91
97,47,55,79,15
24,15,16,67,13
52,16,49,12,87
86,24,22,67,86
41,71,86,45,70
11,83,28,93,15
92,85,50,33,35
46,90,47,11,71
12,98,26,37,25
73,94,44,28,50
55,68,49,34,33
25,96,52,37,74
80,55,67,89,92
87,29,58,27,20
46,60,39,42,46
90,78,72,91,83
25,71,94,76,60
42,49,17,72,51
91,26,91,12,22
53,24,48,24,90
24,81,73,39,36
24,21,19,56,38
51,26,10,74,89
46,98,14,76,74
Maths,Physics,English,Economics,Biology
52,57,52,24,20
99,32,80,12,99
21,98,36,48,19
76,89,87,17,98
57,50,28,41,15
97,87,19,81,94
14,75,16,53,17
70,40,33,13,51
21,19,85,67,71
80,92,75,31,66
42,80,28,65,85
64,93,82,65,23
51,55,32,14,61
88,31,64,29,13
87,13,10,86,52
93,41,68,23,72
18,77,53,49,32
28,59,30,50,32
22,88,49,14,68
35,65,75,24,84
46,76,20,24,29
11,71,88,49,63
10,77,83,29,85
49,18,42,65,53
97,94,89,35,26
63,11,74,85,40
63,25,11,32,89
32,57,96,18,96
15,76,66,80,86
72,16,15,30,61
Maths,Physics,English,Economics,Biology
46,57,17,36,56
82,19,48,31,82
15,19,55,81,48
93,87,10,13,25
11,52,70,87,90
54,25,81,28,62
87,83,99,47,10
52,83,16,75,87
67,71,44,25,50
59,44,49,43,67
54,87,10,72,96
21,77,31,76,67
90,21,24,96,55
27,54,47,89,82
19,55,30,67,34
14,39,12,12,92
89,23,56,62,62
88,98,73,68,79
33,17,64,65,39
31,49,32,73,19
19,83,18,89,44
60,77,28,94,61
38,23,44,48,83
66,20,67,19,11
48,22,77,54,52
12,59,53,50,78
15,40,16,65,89
82,76,92,20,33
